City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
25,Rafsanjan,IR,30.4067,55.9939,93.24,13,67,6.13,broken clouds
26,Mar Del Plata,AR,-38.0023,-57.5575,60.1,64,0,13.8,clear sky
27,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,6.91,clear sky
28,Kruisfontein,ZA,-34.0033,24.7314,57.88,77,92,24.65,light rain
29,Lagoa,PT,39.05,-27.9833,63.46,77,65,11.61,broken clouds
30,Albany,US,42.6001,-73.9662,78.93,48,29,7.16,scattered clouds
31,Butaritari,KI,3.0707,172.7902,82.02,72,95,13.06,overcast clouds
32,Brae,GB,60.3964,-1.353,52.63,90,100,15.52,overcast clouds
33,Georgetown,MY,5.4112,100.3354,82.89,91,20,5.99,few clouds
34,Albert Lea,US,43.648,-93.3683,89.83,45,0,24.16,clear sky
35,Saskylakh,RU,71.9167,114.0833,46.65,62,94,13.2,overcast clouds
36,Senno,RU,59.5336,33.9167,70.27,48,97,10.65,overcast clouds
37,Balkanabat,TM,39.5108,54.3671,90.91,31,0,6.33,clear sky
38,Ancud,CL,-41.8697,-73.8203,49.23,81,52,7.43,light rain
39,Cocentaina,ES,38.7398,-0.4398,91.27,54,26,7.83,scattered clouds
40,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,64,75,10.36,broken clouds
41,Coleraine,GB,55.1333,-6.6667,60.71,76,99,2.71,overcast clouds
42,Goshen,US,41.5823,-85.8344,91.81,77,29,10.29,scattered clouds
43,Codrington,AU,-38.2667,141.9667,50.5,75,100,20.96,light rain
44,Port Elizabeth,ZA,-33.918,25.5701,61.09,67,20,18.41,few clouds
45,San Juan Bautista,PE,-14.0108,-75.7358,70.7,49,80,2.84,broken clouds
46,Mahebourg,MU,-20.4081,57.7,73.69,64,40,13.8,scattered clouds
47,Barrow,US,71.2906,-156.7887,33.82,86,75,11.5,broken clouds
48,Hobyo,SO,5.3505,48.5268,79.72,78,5,29.33,clear sky
49,Yar-Sale,RU,66.8333,70.8333,54.12,67,83,5.99,broken clouds
50,Panorama,GR,40.5878,23.0315,75.69,67,20,5.75,few clouds
51,Qaanaaq,GL,77.484,-69.3632,30.43,66,48,1.32,scattered clouds
52,Avarua,CK,-21.2078,-159.775,75.25,83,75,6.91,broken clouds
53,Cape Town,ZA,-33.9258,18.4232,54.27,88,75,4.61,light rain
54,Korla,CN,41.7597,86.1469,87.28,6,78,4.36,broken clouds
55,Tiksi,RU,71.6872,128.8694,45.68,69,96,6.24,overcast clouds
56,Puntarenas,CR,9.9763,-84.8384,81.66,76,93,10.18,overcast clouds
