City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Turinsk,RU,2022-06-13 18:19:39,58.0458,63.696,52.39,90,100,7.36
233,Funadhoo,MV,2022-06-13 18:19:39,6.15,73.2667,83.17,77,49,11.9
234,Nanortalik,GL,2022-06-13 18:19:39,60.1432,-45.2371,38.46,75,7,31.94
235,Okhotsk,RU,2022-06-13 18:19:40,59.3833,143.3,42.24,94,100,14.7
236,Valparaiso,CL,2022-06-13 18:18:39,-33.0393,-71.6273,53.83,79,100,5.75
237,Bejar,ES,2022-06-13 18:19:40,40.3864,-5.7634,91.63,19,13,8.08
238,Kirkland Lake,CA,2022-06-13 18:19:40,48.1446,-80.0377,68.29,56,67,7.11
239,Haines Junction,CA,2022-06-13 18:19:41,60.7522,-137.5108,48.15,81,100,2.3
240,Mackenzie,CA,2022-06-13 18:19:41,55.2999,-123.1698,57.42,47,20,0.0
241,Lae,PG,2022-06-13 18:19:41,-6.7221,146.9847,74.75,84,97,3.58
242,Ngaoundere,CM,2022-06-13 18:19:41,7.3167,13.5833,66.16,89,100,2.62
243,Lipin Bor,RU,2022-06-13 18:19:42,60.2622,37.9763,55.76,92,100,4.32
244,Bathsheba,BB,2022-06-13 18:19:42,13.2167,-59.5167,86.61,70,75,17.27
245,Ajdabiya,LY,2022-06-13 18:19:42,30.7554,20.2263,74.7,69,0,12.82
246,Taoudenni,ML,2022-06-13 18:19:43,22.6783,-3.9836,108.36,11,39,7.61
247,Inyonga,TZ,2022-06-13 18:19:43,-6.7167,32.0667,68.02,51,55,5.21
248,Fortuna,US,2022-06-13 18:19:43,40.5982,-124.1573,60.91,61,20,18.41
249,Bani,DO,2022-06-13 18:19:44,18.2833,-70.3333,94.44,50,92,15.88
250,Matara,LK,2022-06-13 18:19:44,5.9485,80.5353,79.27,87,39,11.32
251,Vestmanna,FO,2022-06-13 18:19:44,62.1564,-7.1664,49.12,100,100,8.05
252,Santiago,CL,2022-06-13 18:16:18,-33.4569,-70.6483,70.99,41,100,14.97
253,Naze,JP,2022-06-13 18:19:45,28.3667,129.4833,74.32,87,93,20.13
254,Nikki,BJ,2022-06-13 18:19:45,9.9401,3.2108,81.86,62,83,4.32
255,La Ronge,CA,2022-06-13 18:15:04,55.1001,-105.2842,61.45,71,90,8.37
256,Buin,CL,2022-06-13 18:19:46,-33.7333,-70.75,71.87,41,100,4.07
257,Alice Springs,AU,2022-06-13 18:19:46,-23.7,133.8833,38.75,87,5,0.0
258,Gifford,US,2022-06-13 18:19:46,27.6753,-80.4092,93.06,71,0,10.36
259,Yangambi,CD,2022-06-13 18:19:46,0.8102,24.4336,73.02,90,64,0.76
260,Sorland,NO,2022-06-13 18:19:47,67.667,12.6934,48.06,94,100,18.95
261,Asyut,EG,2022-06-13 18:19:47,27.181,31.1837,89.69,24,0,7.11
262,Shenjiamen,CN,2022-06-13 18:19:47,29.9576,122.298,69.73,92,100,5.41
263,Palasa,IN,2022-06-13 18:19:48,18.7667,84.4167,85.05,71,36,6.73
264,Luderitz,NA,2022-06-13 18:19:48,-26.6481,15.1594,59.02,90,80,12.88
265,Port Lincoln,AU,2022-06-13 18:19:48,-34.7333,135.8667,57.9,55,76,20.27
266,Kanor,IN,2022-06-13 18:19:48,24.4333,74.2667,82.81,59,67,6.46
267,Kaspi,GE,2022-06-13 18:19:49,41.9252,44.4257,61.41,96,84,3.62
268,Lavrentiya,RU,2022-06-13 18:19:49,65.5833,-171.0,37.11,66,95,13.42
269,Kadoma,JP,2022-06-13 18:19:49,34.7333,135.5833,71.6,64,100,6.91
270,Tuatapere,NZ,2022-06-13 18:19:50,-46.1333,167.6833,43.83,84,100,20.98
271,Camana,PE,2022-06-13 18:19:50,-16.6228,-72.7111,65.77,72,40,7.54
272,Muzhi,RU,2022-06-13 18:19:50,65.3667,64.6667,48.72,67,100,5.08
273,Hay River,CA,2022-06-13 18:19:51,60.8156,-115.7999,69.78,32,40,8.05
274,Solnechnyy,RU,2022-06-13 18:19:51,50.7214,136.6319,57.31,86,99,4.68
275,Pangkalanbuun,ID,2022-06-13 18:19:51,-2.6833,111.6167,73.27,98,100,0.87
276,Tongren,CN,2022-06-13 18:19:52,27.7172,109.1853,69.39,95,75,2.73
