City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
682,Labrea,BR,85.05,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
683,Mao,ES,86.56,clear sky,39.8885,4.2658,ARTIEM Capri
684,Daru,PG,78.19,scattered clouds,-9.0763,143.2092,Daru Lodge
685,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
686,Padang,ID,76.12,overcast clouds,-0.9492,100.3543,Mercure Padang
687,Hof,DE,72.75,clear sky,50.3167,11.9167,Hotel Burghof
688,Bodden Town,KY,87.8,scattered clouds,19.2833,-81.25,Will T Place
691,Quixada,BR,88.45,clear sky,-4.9714,-39.0153,Hotel Vale das Pedras
693,Gondanglegi,ID,74.98,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
694,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
699,Haimen,CN,75.09,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
700,Ashland,US,78.96,overcast clouds,40.8167,-82.2665,SureStay
701,Uaua,BR,82.81,broken clouds,-9.8414,-39.4817,Hotel Uauá
702,Chirongui,YT,76.93,clear sky,-12.9319,45.1483,La Villa Mahatsara
703,Maragogi,BR,80.22,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
705,Lakatoro,VU,77.76,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
706,Manacapuru,BR,78.69,overcast clouds,-3.2997,-60.6206,Novo Hotel
708,Phuket,TH,88.12,few clouds,8.0,98.25,The Surin
710,Odweyne,SO,80.37,scattered clouds,9.4092,45.064,Eng Hiirey House
711,Mogadishu,SO,79.0,broken clouds,2.0371,45.3438,Hotel Juba
712,Macas,EC,73.15,broken clouds,-2.3167,-78.1167,Casa Upano
713,Kadipaten,ID,74.35,broken clouds,-8.1357,113.2158,SPOT ON 2440 Wallet Family Residence
714,Kannangad,IN,81.07,scattered clouds,12.3081,75.1063,Hotel Landmark
715,Belyy Yar,RU,71.49,clear sky,53.6039,91.3903,Pasportnyy Stol
717,Bukama,CD,78.08,scattered clouds,-9.2,25.85,
